z	velocity	temperature	rho
0.665509	140.815	493.506	0.580743
0.665609	140.562	492.922	0.581238
0.665709	140.579	492.627	0.581416
0.665809	140.459	492.199	0.581766
0.665909	140.402	491.844	0.582028
0.666009	140.299	491.49	0.5823
0.666109	139.978	490.93	0.582848
0.666209	139.814	490.516	0.583229
0.666309	139.575	490.013	0.583705
0.666409	139.643	489.818	0.583792
0.666509	139.508	489.419	0.584131
0.666609	139.411	489.031	0.584467
0.666709	139.197	488.509	0.584937
0.666809	139.004	488.015	0.585371
0.666909	138.922	487.584	0.585722
0.667009	138.892	487.202	0.58598
0.667109	138.789	486.779	0.586306
0.667209	138.645	486.324	0.586695
0.667309	138.493	485.847	0.587107
0.667409	138.535	485.587	0.587243
0.667509	138.366	485.149	0.587624
0.667609	138.257	484.765	0.587966
0.667709	138.047	484.206	0.58849
0.667809	137.81	483.618	0.589029
0.667909	137.855	483.339	0.589189
0.668009	137.756	482.89	0.589553
0.668109	137.734	482.496	0.589835
0.668209	137.597	482.001	0.590243
0.668308	137.365	481.478	0.590729
0.668409	137.468	481.276	0.590817
0.668508	137.198	480.66	0.591407
0.668609	137.201	480.326	0.591647
0.668709	137.064	479.867	0.592035
0.668809	136.991	479.497	0.592316
0.668909	136.857	479.042	0.592719
0.669009	136.89	478.721	0.59295
0.669109	136.867	478.313	0.593259
0.669209	136.744	477.812	0.593673
0.669309	136.705	477.412	0.593971
0.669409	136.636	476.946	0.594343
0.669509	136.449	476.332	0.594893
0.669609	136.46	475.948	0.595149
0.669709	136.407	475.542	0.595457
0.669809	136.38	475.169	0.595743
0.669909	136.254	474.672	0.596185
0.670009	136.193	474.234	0.596547
0.670109	136.149	473.808	0.596892
0.670209	136.088	473.366	0.597267
0.670309	135.923	472.858	0.597737
0.670409	135.858	472.455	0.598073
0.670509	135.809	472.013	0.598435
0.670609	135.744	471.525	0.59883
0.670709	135.676	471.076	0.599177
0.670809	135.665	470.723	0.599423
0.670909	135.619	470.326	0.599739
0.671009	135.458	469.834	0.600177
0.671109	135.362	469.385	0.600548
0.671208	135.342	469.023	0.600807
0.671309	135.247	468.598	0.601162
0.671409	135.172	468.158	0.601534
0.671509	135.149	467.769	0.601829
0.671609	134.995	467.31	0.602232
0.671709	135.006	467.014	0.602437
0.671809	134.987	466.653	0.602714
0.671909	134.997	466.288	0.602984
0.672009	134.891	465.831	0.603357
0.672109	134.812	465.426	0.603669
0.672209	134.706	464.964	0.604079
0.672309	134.796	464.673	0.604243
0.672409	134.768	464.244	0.604577
0.672509	134.892	463.943	0.604759
0.672609	134.976	463.572	0.60502
0.672709	134.93	463.093	0.60541
0.672809	134.922	462.68	0.605718
0.672909	134.941	462.38	0.605894
0.673009	134.826	461.959	0.606272
0.673109	134.895	461.675	0.606462
0.673209	134.777	461.257	0.606813
0.673309	134.699	460.919	0.607084
0.673409	134.606	460.532	0.607435
0.673509	134.521	460.125	0.607785
0.673609	134.53	459.811	0.608014
0.673709	134.473	459.447	0.608319
0.673808	134.485	459.103	0.608562
0.673909	134.332	458.611	0.608989
0.674009	134.23	458.214	0.609303
0.674109	134.134	457.876	0.609577
0.674209	133.896	457.463	0.610002
0.674309	133.717	457.103	0.610384
0.674409	133.673	456.797	0.610655
0.674509	133.6	456.451	0.610952
0.674609	133.427	456.017	0.61136
0.674709	133.269	455.61	0.611728
0.674809	133.055	455.166	0.61215
0.674908	132.967	454.831	0.612441
0.675009	132.778	454.384	0.612887
0.675109	132.717	454.023	0.61318
0.675209	132.618	453.643	0.613489
0.675309	132.536	453.284	0.613778
0.675409	132.576	453.01	0.613953
0.675509	132.333	452.496	0.614453
0.675609	132.259	452.103	0.614779
0.675709	132.419	451.858	0.614884
0.675809	132.388	451.434	0.615213
0.675909	132.461	451.117	0.615408
0.676009	132.529	450.781	0.615643
0.676109	132.496	450.381	0.615952
0.676209	132.459	450.057	0.616168
0.676309	132.31	449.7	0.616461
0.676409	132.176	449.383	0.616747
0.676509	132.01	449.01	0.617118
0.676609	131.945	448.676	0.617397
0.676709	131.863	448.309	0.6177
0.676809	131.788	447.945	0.617989
0.676909	131.658	447.559	0.618316
0.677009	131.638	447.265	0.618528
0.677109	131.553	446.941	0.618799
0.677209	131.492	446.657	0.619033
0.677308	131.464	446.384	0.619247
0.677409	131.341	445.992	0.619595
0.677509	131.242	445.607	0.619907
0.677609	131.222	445.262	0.620169
0.677708	131.353	445.036	0.620271
0.677809	131.29	444.685	0.620539
0.677909	131.143	444.315	0.620862
0.678009	131.025	443.954	0.621182
0.678109	131.134	443.728	0.621287
0.678209	131.052	443.364	0.621579
0.678309	130.904	442.949	0.621938
0.678409	130.932	442.647	0.622131
0.678508	131.106	442.432	0.622206
0.678609	131.16	442.077	0.622477
0.678709	131.292	441.752	0.622678
0.678809	131.299	441.373	0.622929
0.678909	131.247	440.993	0.623187
0.679009	131.228	440.653	0.623407
0.679109	131.194	440.318	0.623647
0.679209	131.279	440.053	0.623801
0.679309	131.254	439.702	0.624052
0.679408	131.282	439.426	0.6242
0.679509	131.159	439.04	0.624514
0.679608	131.173	438.809	0.624635
0.679709	131.107	438.531	0.624859
0.679809	130.786	438.095	0.625321
0.679909	130.768	437.895	0.625464
0.680009	130.666	437.57	0.62575
0.680109	130.587	437.254	0.625995
0.680209	130.495	436.933	0.626258
0.680309	130.48	436.652	0.626463
0.680409	130.412	436.341	0.626708
0.680509	130.328	436.036	0.626961
0.680609	130.297	435.759	0.627189
0.680709	130.298	435.479	0.627389
0.680808	130.376	435.258	0.627476
0.680808	130.381	435.261	0.627471
0.680909	130.263	434.904	0.627761
0.681009	130.345	434.703	0.62783
0.681109	130.197	434.382	0.628083
0.681209	130.084	434.094	0.62833
0.681308	130.116	433.885	0.628449
0.681409	130.145	433.608	0.628644
0.681509	130.241	433.338	0.628778
0.681609	130.22	432.986	0.629005
0.681709	130.341	432.725	0.629119
0.681809	130.292	432.35	0.629414
0.681909	130.367	432.086	0.629529
0.682009	130.24	431.742	0.629771
0.682109	130.148	431.433	0.629999
0.682209	130.141	431.147	0.630184
0.682309	130.151	430.862	0.630364
0.682309	130.151	430.862	0.630364
0.682409	130.118	430.559	0.63059
0.682508	130.225	430.35	0.630663
0.682609	130.227	430.058	0.630834
0.682709	130.234	429.781	0.630993
0.682809	130.18	429.476	0.63119
0.682909	130.093	429.158	0.63143
0.683009	130.086	428.902	0.631594
0.683109	130.082	428.647	0.63176
0.683209	130.152	428.444	0.631859
0.683309	129.988	428.091	0.632176
0.683409	129.915	427.8	0.632397
0.683509	129.95	427.555	0.632534
0.683609	130.037	427.362	0.632594
0.683709	130	427.068	0.632814
0.683809	130.011	426.798	0.632975
0.683909	129.922	426.537	0.633146
0.684009	129.728	426.261	0.633414
0.684109	129.477	425.928	0.633776
0.684209	129.412	425.664	0.633992
0.684309	129.333	425.403	0.634185
0.684409	129.174	425.101	0.634447
0.684509	129.071	424.812	0.634683
0.684609	129.02	424.555	0.634861
0.684709	128.901	424.255	0.635104
0.684809	128.956	424.051	0.635195
0.684909	128.901	423.786	0.635368
0.685009	128.826	423.517	0.635547
0.685109	128.799	423.275	0.635698
0.685209	128.751	423.04	0.635854
0.685309	128.573	422.73	0.63612
0.685409	128.492	422.485	0.6363
0.685509	128.537	422.29	0.63641
0.685609	128.506	422.006	0.636606
0.685709	128.485	421.738	0.636755
0.685809	128.485	421.496	0.636877
0.685908	128.626	421.342	0.63687
0.686009	128.594	421.083	0.637026
0.686108	128.601	420.863	0.637131
0.686209	128.519	420.589	0.637321
0.686309	128.476	420.337	0.637474
0.686409	128.535	420.138	0.637539
0.686509	128.612	419.93	0.637628
0.686609	128.638	419.708	0.637743
0.686709	128.476	419.413	0.637977
0.686809	128.382	419.183	0.63814
0.686909	128.325	418.964	0.638294
0.687009	128.191	418.676	0.638529
0.687109	128.222	418.458	0.638627
0.687209	128.227	418.236	0.63873
0.687308	128.332	418.065	0.638763
0.687409	128.283	417.78	0.638938
0.687509	128.313	417.539	0.639028
0.687609	128.286	417.274	0.639159
0.687709	128.245	417.031	0.63928
0.687809	128.254	416.842	0.639343
0.687909	128.059	416.556	0.639587
0.688009	127.982	416.357	0.639722
0.688109	127.941	416.163	0.639848
0.688209	127.881	415.912	0.640039
0.688309	127.901	415.706	0.640139
0.688409	127.876	415.504	0.640232
0.688509	127.841	415.281	0.640357
0.688609	127.936	415.091	0.640417
0.688709	127.976	414.861	0.64053
0.688809	127.813	414.55	0.640765
0.688909	127.78	414.339	0.640869
0.689009	127.709	414.112	0.641024
0.689109	127.651	413.876	0.641181
0.689208	127.65	413.689	0.641263
0.689308	127.615	413.489	0.64139
0.689409	127.591	413.283	0.641509
0.689509	127.565	413.045	0.641662
0.689608	127.534	412.775	0.641825
0.689709	127.669	412.599	0.641823
0.689809	127.746	412.383	0.641899
0.689908	127.878	412.198	0.641931
0.690009	127.827	411.928	0.642085
0.690109	127.816	411.691	0.642197
0.690209	127.87	411.485	0.642261
0.690309	127.808	411.22	0.64239
0.690409	127.764	411.011	0.642466
0.690509	127.591	410.765	0.642653
0.690609	127.597	410.607	0.642733
0.690709	127.566	410.402	0.642862
0.690809	127.51	410.176	0.642998
0.690909	127.555	410.002	0.643025
0.691009	127.616	409.819	0.643076
0.691109	127.631	409.593	0.643186
0.691209	127.67	409.412	0.643224
0.691309	127.505	409.15	0.643421
0.691409	127.429	408.945	0.643536
0.691509	127.331	408.74	0.643654
0.691609	127.414	408.589	0.643686
0.691709	127.498	408.408	0.643723
0.691709	127.498	408.408	0.643723
0.691809	127.535	408.186	0.643827
0.691909	127.702	408.023	0.643836
0.692009	127.658	407.773	0.643963
0.692108	127.739	407.61	0.643962
0.692108	127.739	407.609	0.643962
0.692209	127.728	407.407	0.644022
0.692309	127.672	407.18	0.644121
0.692408	127.617	406.967	0.644206
0.692509	127.58	406.76	0.644303
0.692609	127.555	406.549	0.644399
0.692709	127.648	406.396	0.644395
0.692809	127.675	406.216	0.644445
0.692909	127.595	405.981	0.644558
0.693009	127.441	405.743	0.644683
0.693109	127.416	405.58	0.644732
0.693209	127.427	405.432	0.644764
0.693309	127.503	405.314	0.644742
