zz	base	dV_V
-0.180000000    -4000.000000    0.000000000
0.005154419	179.7973892	0.232255363
0.005216801	179.7877842	0.215301227
0.005253351	179.7814194	0.205778811
0.005259643	179.7802688	0.20417028
0.005318974	179.7686248	0.189444652
0.005416471	179.7463729	0.166984667
0.005463121	179.7342682	0.157021408
0.005466789	179.7332823	0.156259046
0.005474189	179.7312731	0.15475887
0.005500274	179.7234528	0.149347612
0.005518724	179.7176098	0.145621916
0.00552588	179.7152815	0.144196546
0.005536943	179.7118555	0.142034927
0.005539125	179.7111664	0.14161104
0.005649779	179.6707408	0.121328018
0.005711495	179.6441932	0.111086993
0.005743548	179.6292755	0.106071151
0.005766617	179.6180605	0.102589209
0.005817413	179.5919556	0.095300397
0.00586552	179.5654436	0.088876858
0.005894439	179.5486684	0.085239818
0.005898508	179.5462577	0.084741626
0.005935536	179.5237473	0.080361157
0.005942769	179.5192299	0.07953776
0.005985048	179.4920363	0.074935534
0.006041936	179.4536603	0.069195432
0.006082731	179.4226755	0.065281201
0.006095794	179.4121426	0.064063549
0.006128429	179.3845314	0.061097116
0.006132629	179.3808437	0.06072322
0.006195805	179.3216693	0.055314628
0.006265066	179.2488213	0.049850398
0.00629062	179.2198375	0.047957254
0.006335116	179.1666595	0.044818916
0.006406561	179.074072	0.040199974
0.006535626	178.8843172	0.033168685
0.006581701	178.8109459	0.031148185
0.00658249	178.8096354	0.031113827
0.006598751	178.7824289	0.030421895
0.006625154	178.7343607	0.029212062
0.006636298	178.7138975	0.02873548
0.006676101	178.6426052	0.027283829
0.006726962	178.5436507	0.025472541
0.006779241	178.4338104	0.023699332
0.006836558	178.304866	0.021903631
0.006854017	178.2638201	0.021387514
0.006860914	178.2473776	0.021187597
0.007007445	177.8675646	0.017471427
0.007045762	177.7586435	0.016667036
0.00705823	177.7223438	0.01642026
0.007108368	177.5721149	0.015502062
0.00711661	177.5467659	0.015362486
0.007127848	177.5119077	0.015177358
0.007254966	177.0937567	0.013498826
0.007307149	176.9078623	0.012878904
0.007366139	176.6875875	0.012236129
0.007491793	176.1829992	0.011208489
0.00750697	176.1193148	0.011100606
0.007542171	175.9693334	0.010863856
0.007595201	175.737396	0.010542747
0.007629299	175.5844518	0.010358843
0.00765694	175.4578756	0.010229091
0.007665298	175.419179	0.010192588
0.007686946	175.318057	0.010103957
0.007779566	174.8706924	0.009820978
0.007802338	174.7570488	0.009775296
0.007849399	174.5176207	0.009710768
0.007884681	174.3372837	0.009655749
0.007943558	174.0311646	0.009585568
0.008016189	173.6446262	0.009536268
0.008041259	173.5090581	0.009529255
0.008042606	173.5017425	0.009529004
0.008079055	173.3025826	0.009527079
0.008083293	173.2792767	0.009527464
0.008149033	172.9137156	0.009554676
0.008183015	172.7215873	0.009582802
0.008205456	172.5935207	0.009606631
0.008273295	172.2006553	0.009704076
0.008296027	172.0670806	0.009745272
0.008311002	171.9785638	0.009774752
0.008330088	171.863978	0.009817777
0.008368182	171.6349492	0.009905152
