z	velocity	temperature	rho
-0.1572984	100.018	295.528	1.04718
-0.1572406	100.171	295.515	1.04707
-0.1572326	100.164	295.516	1.04705
-0.15721	100.111	295.521	1.04697
-0.1571553	100.072	295.525	1.0468
-0.1571223	100.117	295.521	1.0467
-0.15708519999999998	100.049	295.527	1.04656
-0.1570407	100.069	295.526	1.04644
-0.1569886	100.074	295.526	1.04631
-0.156951	100.083	295.525	1.04621
-0.1569078	100.026	295.531	1.04607
-0.15686819999999999	100.033	295.531	1.04595
-0.15684309999999999	100.082	295.527	1.0459
-0.1567849	100.021	295.533	1.04572
-0.1567313	100.112	295.525	1.04561
-0.1567072	100.099	295.526	1.04554
-0.1566456	100.181	295.519	1.04537
-0.1566402	100.181	295.519	1.04535
-0.1565993	100.196	295.518	1.04525
-0.1565748	100.152	295.522	1.04517
-0.1565405	100.095	295.528	1.04506
-0.1564824	100.094	295.529	1.0449
-0.1564803	100.098	295.528	1.04489
-0.1564439	100.146	295.524	1.04481
-0.15639709999999998	100.093	295.53	1.04466
-0.15633439999999998	100.076	295.532	1.04449
-0.1563058	100.086	295.531	1.0444
-0.1562476	100.233	295.518	1.04429
-0.156245	100.241	295.517	1.04428
-0.1561995	100.217	295.52	1.04414
-0.1561537	100.229	295.519	1.04401
-0.1560967	100.374	295.506	1.0439
-0.1560943	100.372	295.507	1.04389
-0.15603029999999998	100.284	295.516	1.04369
-0.1559767	100.227	295.521	1.04353
-0.1559678	100.224	295.522	1.04351
-0.1559287	100.207	295.524	1.04337
-0.1558892	100.288	295.517	1.0433
-0.1558573	100.281	295.517	1.04321
-0.1558404	100.282	295.518	1.04317
-0.1558003	100.297	295.516	1.04306
-0.15576279999999998	100.217	295.524	1.04293
-0.15574849999999998	100.187	295.527	1.04288
-0.1556778	100.433	295.505	1.04276
-0.1556099	100.324	295.516	1.04255
-0.1555726	100.344	295.515	1.04247
