# Range file name:,BSA16A.txt,BSA16A.txt.1,BSA16A.txt.2,BSA16A.txt.3,BSA16A.txt.4,BSA16A.txt.5,BSA16A.txt.6,BSA16A.txt.7,BSA16A.txt.8,BSA16A.txt.9,BSA16A.txt.10,BSA16A.txt.11,BSA16A.txt.12,BSA16A.txt.13,BSA16A.txt.14,BSA16A.txt.15,BSA16A.txt.16,BSA16A.txt.17,BSA16A.txt.18,BSA16A.txt.19,BSA16A.txt.20,BSA16A.txt.21,BSA16A.txt.22,BSA16A.txt.23,BSA16A.txt.24,BSA16A.txt.25,BSA16A.txt.26,BSA16A.txt.27,BSA16A.txt.28,BSA16A.txt.29,BSA16A.txt.30,BSA16A.txt.31,BSA16A.txt.32,BSA16A.txt.33,BSA16A.txt.34,BSA16A.txt.35,BSA16A.txt.36,BSA16A.txt.37,BSA16A.txt.38,BSA16A.txt.39
# Raw file name:,251001_BSA_CIU_high_AA.raw,251001_BSA_CIU_high_AB.raw,251001_BSA_CIU_high_AC.raw,251001_BSA_CIU_high_AD.raw,251001_BSA_CIU_high_AE.raw,251001_BSA_CIU_high_AF.raw,251001_BSA_CIU_high_AG.raw,251001_BSA_CIU_high_AH.raw,251001_BSA_CIU_high_AI.raw,251001_BSA_CIU_high_AJ.raw,251001_BSA_CIU_high_AK.raw,251001_BSA_CIU_high_AL.raw,251001_BSA_CIU_high_AM.raw,251001_BSA_CIU_high_AN.raw,251001_BSA_CIU_high_AO.raw,251001_BSA_CIU_high_AP.raw,251001_BSA_CIU_high_AQ.raw,251001_BSA_CIU_high_AR.raw,251001_BSA_CIU_high_AS.raw,251001_BSA_CIU_high_AT.raw,251001_BSA_CIU_high_AU.raw,251001_BSA_CIU_high_AV.raw,251001_BSA_CIU_high_AW.raw,251001_BSA_CIU_high_AX.raw,251001_BSA_CIU_high_AY.raw,251001_BSA_CIU_high_AZ.raw,251001_BSA_CIU_high_BA.raw,251001_BSA_CIU_high_BB.raw,251001_BSA_CIU_high_BC.raw,251001_BSA_CIU_high_BD.raw,251001_BSA_CIU_high_BE.raw,251001_BSA_CIU_high_BF.raw,251001_BSA_CIU_high_BG.raw,251001_BSA_CIU_high_BH.raw,251001_BSA_CIU_high_BI.raw,251001_BSA_CIU_high_BJ.raw,251001_BSA_CIU_high_BK.raw,251001_BSA_CIU_high_BL.raw,251001_BSA_CIU_high_BM.raw,251001_BSA_CIU_high_BN.raw
6272.04,940.0,1379.0,1389.0,1050.0,1444.0,2556.0,4962.0,17319.0,65631.0,125594.0,126957.0,71570.0,30243.0,12564.0,5272.0,2574.0,1582.0,1682.0,102.0,20.0,76.0,0.0,0.0,31.0,69.0,26.0,0.0,0.0,151.0,37.0,46.0,43.0,24.0,0.0,226.0,47.0,51.0,55.0,99.0,114.0
6379.76,514.0,583.0,433.0,810.0,907.0,1734.0,4286.0,13896.0,68035.0,145584.0,176686.0,122334.0,64050.0,25488.0,9023.0,3185.0,1484.0,827.0,90.0,25.0,33.0,0.0,0.0,0.0,75.0,170.0,89.0,316.0,137.0,105.0,76.0,217.0,136.0,186.0,57.0,94.0,44.0,123.0,129.0,87.0
6472.16,177.0,50.0,164.0,204.0,340.0,1519.0,3472.0,13698.0,68975.0,173196.0,248181.0,180641.0,96805.0,46738.0,17997.0,5555.0,1666.0,480.0,85.0,34.0,0.0,60.0,0.0,250.0,110.0,522.0,577.0,434.0,720.0,383.0,513.0,439.0,166.0,225.0,225.0,118.0,168.0,72.0,147.0,69.0
6560.55,162.0,114.0,254.0,220.0,273.0,1416.0,3457.0,15664.0,71884.0,203302.0,322200.0,252547.0,146123.0,74170.0,28170.0,11869.0,4461.0,1662.0,201.0,0.0,24.0,29.0,66.0,227.0,280.0,627.0,1226.0,814.0,795.0,1261.0,1085.0,1361.0,578.0,512.0,724.0,477.0,222.0,62.0,65.0,200.0
6662.39,0.0,225.0,127.0,222.0,276.0,1324.0,3795.0,12656.0,72816.0,215373.0,356779.0,314219.0,185064.0,114645.0,48127.0,26017.0,10288.0,3456.0,220.0,189.0,87.0,187.0,0.0,516.0,547.0,436.0,917.0,1210.0,1401.0,1486.0,864.0,787.0,661.0,643.0,160.0,264.0,84.0,227.0,105.0,241.0
6750.11,65.0,140.0,233.0,167.0,466.0,1140.0,3169.0,11202.0,55915.0,172111.0,311347.0,300349.0,192031.0,131067.0,63942.0,36707.0,18181.0,6016.0,365.0,304.0,208.0,171.0,111.0,310.0,608.0,297.0,449.0,728.0,806.0,599.0,807.0,985.0,807.0,602.0,500.0,164.0,325.0,99.0,104.0,255.0
6837.1,48.0,121.0,120.0,71.0,225.0,986.0,2246.0,5799.0,31586.0,108700.0,223619.0,231396.0,172760.0,122316.0,65261.0,43152.0,23100.0,8217.0,1007.0,304.0,348.0,36.0,0.0,664.0,289.0,331.0,303.0,212.0,447.0,415.0,278.0,299.0,366.0,200.0,342.0,140.0,483.0,45.0,189.0,229.0
6923.07,0.0,0.0,0.0,55.0,235.0,437.0,1052.0,3200.0,17083.0,60891.0,133483.0,157837.0,136037.0,120308.0,73182.0,55732.0,39946.0,15260.0,1349.0,469.0,168.0,115.0,56.0,528.0,825.0,466.0,326.0,398.0,131.0,197.0,238.0,484.0,401.0,337.0,293.0,387.0,326.0,335.0,374.0,290.0
7012.32,0.0,140.0,49.0,0.0,37.0,174.0,767.0,1473.0,8087.0,34391.0,81193.0,114851.0,133606.0,169856.0,129519.0,121723.0,103606.0,52511.0,5186.0,1876.0,386.0,389.0,48.0,1472.0,1248.0,1239.0,737.0,521.0,458.0,418.0,331.0,347.0,457.0,558.0,1024.0,327.0,507.0,360.0,281.0,128.0
7097.81,68.0,66.0,0.0,87.0,0.0,355.0,574.0,950.0,5184.0,20806.0,52402.0,112062.0,175786.0,239894.0,215078.0,231879.0,213940.0,123418.0,17216.0,7080.0,2092.0,1515.0,771.0,5750.0,4987.0,3816.0,2018.0,1479.0,733.0,785.0,843.0,518.0,565.0,834.0,759.0,319.0,283.0,309.0,224.0,361.0
