# Range file name:,BSA15E.txt,BSA15E.txt.1,BSA15E.txt.2,BSA15E.txt.3,BSA15E.txt.4,BSA15E.txt.5,BSA15E.txt.6,BSA15E.txt.7,BSA15E.txt.8,BSA15E.txt.9,BSA15E.txt.10,BSA15E.txt.11,BSA15E.txt.12,BSA15E.txt.13,BSA15E.txt.14,BSA15E.txt.15,BSA15E.txt.16,BSA15E.txt.17,BSA15E.txt.18,BSA15E.txt.19,BSA15E.txt.20,BSA15E.txt.21,BSA15E.txt.22,BSA15E.txt.23,BSA15E.txt.24,BSA15E.txt.25,BSA15E.txt.26,BSA15E.txt.27,BSA15E.txt.28,BSA15E.txt.29,BSA15E.txt.30,BSA15E.txt.31,BSA15E.txt.32,BSA15E.txt.33,BSA15E.txt.34,BSA15E.txt.35,BSA15E.txt.36,BSA15E.txt.37,BSA15E.txt.38,BSA15E.txt.39
# Raw file name:,251001_BSA_CIU_high_EA.raw,251001_BSA_CIU_high_EB.raw,251001_BSA_CIU_high_EC.raw,251001_BSA_CIU_high_ED.raw,251001_BSA_CIU_high_EE.raw,251001_BSA_CIU_high_EF.raw,251001_BSA_CIU_high_EG.raw,251001_BSA_CIU_high_EH.raw,251001_BSA_CIU_high_EI.raw,251001_BSA_CIU_high_EJ.raw,251001_BSA_CIU_high_EK.raw,251001_BSA_CIU_high_EL.raw,251001_BSA_CIU_high_EM.raw,251001_BSA_CIU_high_EN.raw,251001_BSA_CIU_high_EO.raw,251001_BSA_CIU_high_EP.raw,251001_BSA_CIU_high_EQ.raw,251001_BSA_CIU_high_ER.raw,251001_BSA_CIU_high_ES.raw,251001_BSA_CIU_high_ET.raw,251001_BSA_CIU_high_EU.raw,251001_BSA_CIU_high_EV.raw,251001_BSA_CIU_high_EW.raw,251001_BSA_CIU_high_EX.raw,251001_BSA_CIU_high_EY.raw,251001_BSA_CIU_high_EZ.raw,251001_BSA_CIU_high_FA.raw,251001_BSA_CIU_high_FB.raw,251001_BSA_CIU_high_FC.raw,251001_BSA_CIU_high_FD.raw,251001_BSA_CIU_high_FE.raw,251001_BSA_CIU_high_FF.raw,251001_BSA_CIU_high_FG.raw,251001_BSA_CIU_high_FH.raw,251001_BSA_CIU_high_FI.raw,251001_BSA_CIU_high_FJ.raw,251001_BSA_CIU_high_FK.raw,251001_BSA_CIU_high_FL.raw,251001_BSA_CIU_high_FM.raw,251001_BSA_CIU_high_FN.raw
8148.63,155812.0,163311.0,175660.0,217480.0,279078.0,375265.0,477171.0,439425.0,390425.0,270207.0,79153.0,12622.0,2321.0,532.0,272.0,118.0,60.0,137.0,44.0,54.0,41.0,29.0,49.0,0.0,137.0,0.0,41.0,72.0,180.0,39.0,159.0,0.0,0.0,32.0,60.0,25.0,0.0,0.0,0.0,0.0
8238.03,126353.0,136128.0,147261.0,175027.0,209108.0,274860.0,341746.0,335884.0,320058.0,257258.0,104146.0,18983.0,2832.0,732.0,194.0,112.0,80.0,102.0,100.0,27.0,110.0,49.0,176.0,32.0,60.0,27.0,66.0,0.0,215.0,26.0,20.0,0.0,49.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
7343.3,74028.0,80036.0,84174.0,97649.0,119634.0,152984.0,199914.0,222802.0,250641.0,252856.0,140949.0,30485.0,5592.0,964.0,154.0,75.0,36.0,0.0,137.0,160.0,0.0,32.0,22.0,110.0,64.0,236.0,108.0,19.0,35.0,81.0,90.0,0.0,30.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0
6439.04,30975.0,33389.0,34181.0,43033.0,49569.0,64540.0,93987.0,127206.0,184448.0,247327.0,177406.0,51573.0,8327.0,1830.0,295.0,62.0,165.0,57.0,93.0,40.0,37.0,113.0,70.0,36.0,117.0,134.0,61.0,154.0,87.0,105.0,0.0,0.0,0.0,28.0,19.0,101.0,0.0,0.0,41.0,0.0
6533.93,9030.0,9674.0,9920.0,11320.0,14542.0,20928.0,39113.0,65003.0,130228.0,227658.0,198083.0,72075.0,13677.0,3470.0,559.0,166.0,325.0,68.0,78.0,106.0,45.0,81.0,56.0,271.0,0.0,20.0,39.0,79.0,67.0,79.0,27.0,26.0,28.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
5645.32,1311.0,1885.0,2163.0,2403.0,3341.0,5758.0,13867.0,35906.0,89371.0,194394.0,206336.0,87358.0,18640.0,4135.0,839.0,145.0,35.0,109.0,54.0,34.0,69.0,196.0,74.0,20.0,88.0,101.0,62.0,101.0,189.0,130.0,57.0,30.0,0.0,85.0,19.0,25.0,0.0,0.0,0.0,0.0
5740.96,574.0,407.0,662.0,903.0,1224.0,2498.0,6056.0,18558.0,56360.0,154424.0,198397.0,99729.0,23600.0,4333.0,1241.0,190.0,158.0,20.0,40.0,192.0,0.0,50.0,92.0,64.0,26.0,68.0,26.0,87.0,0.0,60.0,156.0,210.0,20.0,33.0,38.0,50.0,28.0,80.0,82.0,0.0
5817.5,217.0,522.0,579.0,488.0,914.0,1592.0,3519.0,10737.0,39843.0,117904.0,166946.0,101757.0,28330.0,6839.0,1596.0,495.0,119.0,228.0,117.0,20.0,0.0,48.0,68.0,73.0,58.0,0.0,126.0,107.0,127.0,48.0,46.0,0.0,0.0,22.0,77.0,67.0,0.0,51.0,0.0,22.0
5928.57,194.0,301.0,493.0,337.0,468.0,771.0,2398.0,6525.0,24084.0,85390.0,134082.0,95397.0,31811.0,7676.0,2213.0,837.0,226.0,139.0,246.0,156.0,31.0,30.0,220.0,38.0,88.0,53.0,23.0,82.0,135.0,55.0,328.0,111.0,0.0,46.0,70.0,60.0,50.0,41.0,0.0,0.0
6025.07,425.0,144.0,263.0,388.0,271.0,576.0,1645.0,5009.0,14652.0,55240.0,100798.0,85338.0,36510.0,12495.0,3868.0,1340.0,894.0,358.0,281.0,36.0,187.0,72.0,54.0,98.0,55.0,0.0,68.0,268.0,74.0,196.0,0.0,23.0,38.0,61.0,135.0,144.0,131.0,47.0,125.0,52.0
